Unit,Subunit,area_ha,area,perimeter,fid,DN,cover_clas,class_perc
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,23,"3",199004.504,7.921
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,1,"7",381593.854,15.189
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,281,"4",9924.519,0.395
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,3,"1",1484314.207,59.080
Heinkel,East Heinkel,36.979,2512377.769409179687500,10089.435077931701016,6,"2",410197.213,16.327
Naylor Road,Naylor Road,13.595,1552972.409179687732831,6213.439609532756549,23,"3",131412.571,8.462
Naylor Road,Naylor Road,13.595,1552972.409179687732831,6213.439609532756549,1,"7",339329.133,21.850
Naylor Road,Naylor Road,13.595,1552972.409179687732831,6213.439609532756549,281,"4",82101.458,5.287
Naylor Road,Naylor Road,13.595,1552972.409179687732831,6213.439609532756549,3,"1",655065.534,42.181
Naylor Road,Naylor Road,13.595,1552972.409179687732831,6213.439609532756549,6,"2",344840.933,22.205
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,52,"5",2699.623,0.161
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,23,"3",8440.235,0.504
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,1,"7",81719.830,4.878
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,281,"4",30620.377,1.828
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,3,"1",924689.303,55.195
Big Woods,Big Woods,16.734,1675311.799438476562500,6859.072628184841960,6,"2",626905.707,37.420
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,52,"5",2642.209,0.171
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,23,"3",4499.371,0.291
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,1,"7",51876.787,3.351
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,281,"4",18317.127,1.183
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,3,"1",1053712.936,68.060
Eight Oaks,Eight Oaks,7.237,1548217.726074218982831,6286.067605494761665,6,"2",416952.051,26.931
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,52,"5",26996.311,2.285
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,23,"3",170512.915,14.431
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,1,"7",290818.842,24.613
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,281,"4",2949.255,0.250
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,3,"1",516647.360,43.726
SE Knob,SE Knob,3.460,1181562.731811523437500,4727.801638084088154,6,"2",173482.089,14.682
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,52,"5",26996.311,1.605
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,23,"3",251436.187,14.946
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,1,"7",336086.963,19.978
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,281,"4",31656.630,1.882
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,3,"1",908817.412,54.024
Schafer Knob,Schafer Knob,13.544,1682255.990112304687500,6797.849616051181329,6,"2",127041.477,7.552
Isabell's Knob,Isabell's Knob,4.162,1205988.200073242187500,4827.331218860432273,23,"3",181722.627,15.068
Isabell's Knob,Isabell's Knob,4.162,1205988.200073242187500,4827.331218860432273,1,"7",156858.856,13.007
Isabell's Knob,Isabell's Knob,4.162,1205988.200073242187500,4827.331218860432273,281,"4",18153.242,1.505
Isabell's Knob,Isabell's Knob,4.162,1205988.200073242187500,4827.331218860432273,3,"1",807222.531,66.935
Isabell's Knob,Isabell's Knob,4.162,1205988.200073242187500,4827.331218860432273,6,"2",41874.043,3.472
Clear Creek,Clear Creek South,32.289,1983427.378295898437500,7935.291069248360145,23,"3",408209.000,20.581
Clear Creek,Clear Creek South,32.289,1983427.378295898437500,7935.291069248360145,1,"7",262963.437,13.258
Clear Creek,Clear Creek South,32.289,1983427.378295898437500,7935.291069248360145,281,"4",557012.787,28.083
Clear Creek,Clear Creek South,32.289,1983427.378295898437500,7935.291069248360145,3,"1",721723.744,36.388
Clear Creek,Clear Creek South,32.289,1983427.378295898437500,7935.291069248360145,6,"2",33282.589,1.678
Themla Carpenter,Thelma Carpenter,26.077,1838270.363647460937500,7354.631618384466492,23,"3",1034343.580,56.267
Themla Carpenter,Thelma Carpenter,26.077,1838270.363647460937500,7354.631618384466492,1,"7",226961.754,12.346
Themla Carpenter,Thelma Carpenter,26.077,1838270.363647460937500,7354.631618384466492,281,"4",172032.843,9.358
Themla Carpenter,Thelma Carpenter,26.077,1838270.363647460937500,7354.631618384466492,3,"1",380915.218,20.721
Themla Carpenter,Thelma Carpenter,26.077,1838270.363647460937500,7354.631618384466492,6,"2",23804.953,1.295
Stone Barn Prairie,Stone Barn Prairie,77.871,2700668.041992187500000,10866.881922245011083,23,"3",2028659.531,75.117
